	cuizhaoyan	T386615	T4511947	T4546812	T4708931	T4771295	T4885622	T4978370	T5309201	T5356332	T5383979	T5392952	T5402558	T5404288	T5406460	T5407014	T5407024	T5411329	T5411337	T5412670	T5413224	T5414072	T5415755	T5415787	T5416619	T5418386	T5424389	T5425858	T5426822	T5427019	T5430860	T5433863	T5434631	T5436097	T5444043	T5445007	T5445301	T5450212	T5450491	T5453600	T5455039	T5462005	T5468269	T5468282	T5471149	T5513320	T5558516	T5558703	T5559825	T5564869	T5581107	T5581599	T5584547
f98239151912da35a02336b0726a75df	0.232560036	0	0	0.000262584	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000261877	0.000281959	0	0	0	0	0
df3a4a5e40f18df57ec08d3ae2e0971d	0.209361112	0	0	0.000121193	0	0	0	0	0	0	0	0	0.000420227	0	0	0	0	0	0	0	0	0	0	0	0	0.000746436	0	0	0	0	0	0	0	0	0	0	0.000329339	0	0	0.000859791	0.000353201	0	0.000166864	0	0	0	0	0.000130135	0.004053581	0.000219434	0	0	0.000194202
84ee102b25c118b9fd15468eb16180f1	0	0	0	0.004120546	0	0	0.000244989	0	0	5.00E-05	0	0.069717309	0.000540292	0	0.000121919	0	0	0	0	0	0.002744049	0.003102934	0.028547097	0	0	0	0.000648831	0	0	0.005804044	0	0.000808571	0.088878706	0	0.004701532	0	0	0.000269107	0	0.000104853	0	0	0	0	0	0	0.011217074	0	0.000884792	0	0	0.001701689	0.000971008
b4d639dd923eb92f50fe29b16efefc67	0.000795042	0	0	0	0.000208195	0	0	0	0	0	0.000714962	0	0	0.000987863	0.192550749	0.009754073	0.00207776	0	0	0	0	0	0.000777547	0	0.003170943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000251646	0	0.000389619	0.000222486	0	0	0	0.001047509	0	0	0	0	0	0
c73f269a120f9a42cb26dc886f045422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.18173033	0.000408379	0	0	0	0	0	0	0	0	0.000215837	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7e4f13e78d9cdf9783a995a72d22a45d	0	0	0	0	0	0.000681366	0	0	0	0	0.001030386	0	0	0.011766159	0.000670555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.237863596	0	0	0	0	0	0	0	0
e002348fa9c49b8a3f2d909878ad5b56	0.000509642	0	0	0.021390482	0	0	0.03857461	0	0	0	0	0.003062074	0	0	0.000182879	0	0	0.00128524	0	0	0.038485285	0	0	0	0	0	0	0	0.003996644	0	0	0	0	0	0	0	0	0.003767492	0	0	0	0	0.002614209	0	0	0	0	0	0	0	0	0.118963517	0.012206964
f9180d1d639c0df7bf4e686e09d8ce17	0	0	0	8.08E-05	0	0	0.023964365	0	0.022366703	0	0	0	0.021251476	0	0	0	0	0.000891376	0	0	0	0	0	0	0	0	0.002941367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.137971583	0	0	0	0	0	0	0	0	0
9f662765fa0dfe9677e2a76fb85859b5	0	0	0	0	0	0	0.022494432	0	0	0	0	0	0	0.000352808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000217692	0	0.000187058	0	0	0	0	0	0	0.000331126	0	0	0.172954434	0	0	0	0	0	0	0	0	0
55f7ca6abd6f4e73893feaacc02e88ea	0	0	0.128426328	0	0	0.000218037	0	0	0	0	0	0	0.000660357	0	0	0	0	0	0.002165813	0	0	0.007134306	0.000981191	0	0.002089939	0.009199821	0	0	0	0.035307937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003828548
